اشکبار	'aSkbAr
تردید	tardid
حق‌التدریس	haqqottadris
نیم‌تنه	nimtane
شالوده	SAlude
هشتی	haSti
اقشار	'aqSAr
اضطراری	'ezterAri
خدیجه	xadije
اسباب‌چینی	'asbAbCini
تفریطی	tafriti
تزئین‌شده	taz'inSode
هالیوود	hAlivud
خوشحال‌کننده	xoShAlkonande
قلیچ‌‌خانی	qeliCxAni
تفت‌داده	taftdAde
پاپیروس	pApirus
لرزه	larze
توضیحی	towzihi
پاروپایان	pArupAyAn
بدخلقی	badxolqi
افطار	'eftAr
تحسین‌آمیز	tahsinAmiz
نو‌آوری	now'Avari
عوام‌‌فریب	'avAmfarib
قاری‌‌زاده	qArizAde
رنجوری	ranjuri
ریاکار	riyAkAr
بی‌ادبانه	bi'adabAne
نماسازی	namAsAzi
خلیج	xalij
تحبیب	tahbib
ابی‌الحدید	'abelhadid
خوزه	xoze
گفته‌شده	gofteSode
لیلیان	leyliyAn
بشر	baSar
نق	neq
قرع	qar'
شنگرفی	Sangarfi
فرا‌‌رسیده	farAreside
تنوره	tanure
شبانی	SabAni
گزاره‌نما	gozArenemA
طلحه	talhe
معطری	mo'attari
حکومتی	hokumati
آسیب‌شناختی	'AsibSenAxti
ثواب	savAb
بهرامیان	bahrAmiyAn
نوربخش	nurbaxS
آهسته	'Aheste
رسواسازی	rosvAsAzi
کارکرد‌‌گرا	kArkardgerA
صناری	sannAri
بی‌حوصلگی	bihoselegi
شرف	Saraf
ناغافل	nAqAfel
تلفن	telefon
حقیقت‌پژوهی	haqiqatpaZuhi
بازگوکننده	bAzgukonande
دقیقه‌ای	daqiqe'i
نامه	nAme
غارها	qArhA
نوسنگی	nowsangi
همین‌ها	haminhA
علیم	'alim
عقیم	'aqim
مدرنیزه	modernize
فطانت	fatAnat
جناب	jenAb
حرامخوار	harAmxAr
جوردن	jordan
آباژور	'AbAZur
منافذ	manAfez
گوارایی	govArAyi
بالنگ	bAlang
ده‌نمک	dehnamak
غیرشاغل	qeyreSAqel
گوشتخواری	guStxAri
دوش	duS
مخاصمه	moxAseme
تحمل‌ناپذیر	tahammolnApazir
جزء‌جزء	joz'joz'
خالی‌شده	xAliSode
کلمه	kalame
اجحاف	'ejhAf
این‌شوشی‌ناک	'inSuSinAk
دون‌همتی	dunhemmati
کرد	kard
سطحی‌نگر	sathinegar
محدب	mohaddab
والیبال	vAlibAl
شغالدست	SoqAldast
مریم‌نخودی	maryamnoxodi
تفویض	tafviz
والرین	vAleriyan
شاعره	SA'ere
کنعانی	kan'Ani
ولش	velS
کرامت	kerAmat
خاکروبه	xAkrube
بیغ	biq
خواندنی	xAndani
آشوب	'ASub
درون‌سازمانی	darunsAzmAni
جاهلی	jAheli
منفور	manfur
عزادار	'azAdAr
فریدونی	fereyduni
چگالی	CegAli
اصلاح‌کننده	'eslAhkonande
سفیدکاری	sefidkAri
بهت‌آ‌ور	bohtAvar
چهارنفری	CAhArnafari
گشتاسب	goStAsb
علیه	'alayh
گرانش	gerAneS
مبالغ	mabAleq
میرسلیم	mirsalim
عزمی	'azmi
یارگیر	yArgir
کتیرا	katirA
کتب	kotob
آشوب‌طلبی	'ASubtalabi
نویدبخش	navidbaxS
غرائز	qarA'ez
مقر	maqar
تقویتی	taqviyati
مظهر	mazhar
لندرور	landrover
ابداعی	'ebdA'i
نامردی	nAmardi
ارمغان	'armaqAn
دومینو	domino
همراهی‌کننده	hamrAhikonande
کلسیمی	kalsiyomi
بلالی	balAli
درون‌ریز	darunriz
سخنگو	soxangu
بازگشت‌ناپذیر	bAzgaStnApazir
خبری	xabari
سرمشق	sarmaSq
بازماندگان	bAzmAndegAn
ارژنگ	'arZang
زمین‌پیما	zaminpeymA
نخست‌زادگی	naxostzAdegi
بحران‌آفرینی	bohrAnAfarini
فیوز	fiyuz
تخته‌پوست	taxtepust
صاف	sAf
خاطر‌جمعی	xAterjam'i
ساده‌لوح	sAdelowh
کاووسی	kAvusi
مابه‌التفاوت	mAbe'ottafAvot
شکافتگی	SekAftegi
بیدگل	bidqol
سکولاریزم	sekolArizm
پژوه	paZuh
فسادآفرین	fesAdAfarin
خیمه	xeyme
در‌سر	darsare
عبدالسلام	'adbossalAm
تحریف‌شده	tahrifSode
بدزبان	badzabAn
دست‌اندرکار	dastandarkAr
جهان‌بین	jahAnbin
شروع‌‌کننده	Suru'konande
هفت‌بند	haftband
ترتیل	tartil
بی‌کیفیت	bikeyfiyyat
مکاشفات	mokASefAt
نازایی	nAzAyi
آندودرم	'Andoderm
تلسکوپ	teleskop
بوس	bus
بیگمان	bigamAn
عق	'oq
ارغوانی	'arqavAni
زدوده	zodude
موتورسازی	motorsAzi
جمع‌گرایی	jam'gerAyi
همواره	hamvAre
بویایی	buyAyi
زید	zeyd
جانان	jAnAn
صلیبی	salibi
این	'in
خورشید‌گرفتگی	xorSidgereftegi
خلل	xelal
بی‌هنر	bihonar
قهریه	qahriyye
قاطعانه	qAte'Ane
مقتنع	moqtane'
استالاگمیت	'estAlAgmit
وزغها	vazaqhA
تفکرآمیز	tafakkorAmiz
طاغی	tAqi
لامپ	lAmp
تبصره	tabsare
وحید	vahid
نعلبند	na'lband
اسپند	'espand
فهارس	fahAres
مدبر	modabber
کارخانه	kArxAne
خرید‌و‌فروش	xaridofuruS
بی‌سران	bisarAn
رزوه	rezve
مرسلی	morsali
کم‌آبی	kamAbi
گروه‌نوازی	goruhnavAzi
گردنفراز	gardanfarAz
دانش‌دوست	dAneSdust
کوبایی	kubAyi
بورسیه	bursiyye
عمو‌‌نوروز	'amunoruz
بلشویسم	bolSovism
باطن‌بین	bAtenbin
مغزی	maqzi
کلاهدوز	kolAhduz
جنگ	jang
قاسم‌‌پور	qAsempur
کرخه	karxe
مابعدالطبیعه	mAba'dottabi'e
تکنولژی	teknoloZi
اسکانیا	'eskAniyA
اسطوخودوس	'ostoxoddus
پنیر	panir
کیفری	keyfari
مترو	metro
صغیر	saqir
شافعی	SAfe'i
کودک‌‌آزاری	kudakAzAri
پربرکت	porbarekat
بدعمل	bad'amal
حکاکی	hakkAki
ابدی	'abadi
هاپکینز	hApkinz
پارچ	pArC
پردل	pordel
پرو	peru
رویارویی	ruyAruyi
ترازش	tarAzeS
کالی	kAli
حادثه	hAdese
همرفتی	hamrafti
نراقی	narAqi
حرکتی	harekati
النهایه	'annahAye
رضاپور	rezApur
آنیلین	'Anilin
خودآگاهانه	xodAgAhAne
ایرا‌ن‌پارس	'irAnpArs
رسدبان	rasadbAn
غیرخودی	qeyrexodi
شیرینی‌پز	Sirinipaz
ودود	vadud
بیدیان	bidiyAn
مسئول	mas'ul
اختلال	'extelAl
گرافیک	gerAfik
صخره	saxre
یعقوب‌خان	ya'qubxAn
ترومبون	torombon
آب‌درمانی	'AbdarmAni
تاج‌وتخت	tAjotaxt
سید‌‌الشهداء	seyyedoSSohadA
تابه‌حال	tAbehAl
چرب	Carb
نهنگها	nahanghA
میرترابی	mirtorAbi
دربندی	darbandi
رفق	refq
پارکت	pArket
نراق	narAq
وارسی	vArasi
بچه‌دزد	baCCedozd
میکرومتر	mikrometr
پراضطراب	por'ezterAb
انفرماتیک	'anformAtik
ابروکمان	'abrukamAn
مریض	mariz
وجنات	vajanAt
رذالت	rezAlat
برآشفتگی	barASoftegi
زبان‌آور	zabAnAvar
مجمع	majma'
میکروب‌شناسی	mikrobSenAsi
ترجیح	tarjih
سوفلور	suflor
هنگ	hang
دایگی	dAyegi
ستیزه‌جو	setizeju
مصیر	masir
اورتوپد	'ortoped
نازک	nAzok
باسیل	bAsil
عوام‌‌پسند	'avAmpasand
سوبژکتیو	subZektiv
وارث	vAres
رزاق	razzAq
آک	'Ak
میرزاده	mirzAde
دسترس	dastres
غرض‌‌آلود	qarazAlud
مانست	mAnest
سبک‌سری	saboksari
اقارب	'aqAreb
آنهمه	'Anhame
آب‌مروارید	'AbemorvArid
بیماریزا	bimArizA
خفاشان	xoffASAn
کیایی	kiyAyi
شجری	Sajari
گوساله	gusAle
زجردیده	zajrdide
وصف	vasf
سکرتین	sekretin
خیزان	xizAn
پسرک	pesarak
زنانه‌دوز	zanAneduz
بقیت	baqiyyat
کلاش	kelAS
انجیل	'enjil
تنکابن	tonekAbon
خلقی	xalqi
وزیده	vazide
لاف‌زنی	lAfzani
روسپی‌خانه	ruspixAne
ایوانوویچ	'ivAnoviC
فریفت	farift
آبچلیک	'AbCelik
پیش‌آمد	piSAmad
عذرتراشی	'ozrtarASi
چاپ‌شده	CApSode
شیشلیک	SiSlik
راک‌اندرول	rAkandrol
میکروب‌زدایی	mikrobzodAyi
شاغل	SAqel
براتیسلاوا	berAtislAvA
مجتبائی	mojtabA'i
تریکو	teriko
رودپیچ	rudpiC
وقیح	vaqih
امیرخیزی	'amirxizi
گلادیاتور	gelAdiyAtor
گرز	gorz
برون‌زا	borunzA
دوجین	dojin
ظریفه	zarife
فاجعه	fAje'e
کف‌زن	kafzan
تلاقی	talAqi
فرشادی	farSAdi
ایرن	'iren
سروزی	serozi
باده‌گساری	bAdegosAri
کریم	karim
خمیردندان	xamirdandAn
مساعدت	mosA'edat
مکران	mokrAn
الخلیل	'alxalil
شمرده	Semorde
کلبی	kalbi
سیاستگذاری	siyAsatgozAri
رئیسیان	ra'isiyAn
سروصدا	sarosedA
پرطراوت	portarAvat
تطاول	tatAvol
کاغذ	kAqaz
آسیب‌رسان	'AsibresAn
مجهول‌الهویه	majhulolhoviyye
قزاق‌خانه	qazzAqxAne
پاسخگویی	pAsoxguyi
انباشتگی	'anbAStegi
توانگری	tavAngari
سیبک	sibak
تظاهر	tazAhor
شناسانده	SenAsAnde
اباقاخان	'AbAqAxAn
السامرائی	'assAmerA'i
بی‌حد	bihadd
عبدالملک	'abdolmalek
سبزپوش	sabzpuS
محمدصادق	mohammadsAdeq
وحدانیت	vahdAniyyat
غزنویان	qaznaviyAn
مدارایی	modArAyi
انتقادپذیری	'enteqAdpaziri
غیررقابتی	qeyrereqAbati
بزرگ‌همت	bozorghemmat
دیده	dide
حجله	hejle
تاج‌الملوک	tAjolmoluk
فراگشت	farAgaSt
اینهمانی	'inhamAni
خوش‌ذوق	xoSzowq
ین	yen
ملاک	mallAk
سرگین‌غلتان	serginqaltAn
لانه‌گزینی	lAnegozini
کما	komA
شبگردان	SabgardAn
نامگذاری	nAmgozAri
حکیم‌باشی	hakimbASi
فاکس‌‌نیوز	fAksniyuz
گشتاپو	geStApo
هم‌جهت	hamjahat
برخه	barxe
هیجده‌ماهگی	hijdahmAhegi
افاده	'efAde
سمیع	sami'
پارانشیم	pArAnSim
راست‌گرا	rAstgerA
گیس‌بند	gisband
ادراک‌کننده	'edrAkkonande
آرایشی	'ArAyeSi
سهرورد	sohrevard
تپانچه	tapAnCe
یاکوت	yAkut
شریف‌‌نیا	SarifniyA
اسلامی‌شده	'eslAmiSode
تشعیر	taS'ir
در‌ازای	darezAye
پرپیچ‌و‌خم	porpiCoxam
تواتر	tavAtor
دستورنویسی	dasturnevisi
آقاسی	'AqAsi
شاهرودی	SAhrudi
شلوار	SalvAr
مبارزالدین	mobArezeddin
عائله	'A'ele
مصادره	mosAdere
فتنه‌گر	fetnegar
مستجاب	mostajAb
خرمی	xorrami
احتمالی	'ehtemAli
تختان	taxtAn
قره	qara
شیرآباد	SirAbAd
پژواک	peZvAk
پسرعمو	pesar'amu
عبدالملکیان	'abdolmalekiyAn
زیرجلدی	zirjeldi
به‌قولی	beqoli
گویه	guye
بریان	beryAn
شعرخیز	Se'rxiz
مقول	maqul
جعفرنیا	ja'farniyA
فینیقیه	finiqiyye
اژدران	'aZdarAn
شقاق	SaqAq
نامناسب	nAmonAseb
اکابر	'akAber
باتوم	bAtum
بی‌وفایی	bivafAyi
مفاد	mofAdd
خردادماه	xordAdmAh
کهنسال	kohansAl
بدخیمی	badximi
شیشه‌گر	SiSegar
واژنامه	vAZenAme
ایوانی	'ivAni
کمونیزم	komonizm
ضیاء‌‌پور	ziyA'pur
عدد	'adad
قدرتمندانه	qodratmandAne
بی‌کلاه	bikolAh
تاک	tAk
الکترا	'elekterA
تستی	testi
ماکیاولی	mAkiyAveli
مترادف	moterAdef
خلف	xalaf
کاپیتانی	kApitAni
پرنقش	pornaqS
وجود	vojud
الخاص	'alxAss
نیکسون	nikson
شیربرنج	Sirberenj
رستمی‌نژاد	rostamineZAd
سر‌به‌زیر	sarbezir
نورمحمدی	nurmohammadi
پرولتر	poroleter
پوشال	puSAl
دائم	dA'em
پنچرگیری	panCargiri
ساله	sAle
توهین‌‌آمیز	towhinAmiz
خراشیدگی	xarASidegi
درجه	daraje
شرارت	SarArat
تولیدی	towlidi
سوءاستفاده‌‌چی	su'e'estefAdeCi
قاعده‌‌ای	qA'ede'i
سر‌خط	sarxatt
زکیه	zakiyye
عیب‌‌جویی	'eybjuyi
ورزید	varzid
موری	muri
تیتراسیون	titrAsiyon
مستفیض	mostafiz
کشتی‌چسب	keStiCasb
قرار‌‌داده‌‌شده	qarArdAdeSode
دوچرخه‌سوار	doCarxesavAr
سالخوردگی	sAlxordegi
اتومبیل‌سواری	'otomobilsavAri
مرطوب	martub
عبدالغفور	'abdolqafur
به‌درستی	bedorosti
خودمحوری	xodmehvari
خلعتی	xal'ati
عیادت	'ayAdat
الماس‌نشان	'almAsneSAn
غلامرضایی	qolAmrezAyi
دبستانی	dabestAni
کاکاسیاه	kAkAsiyAh
اسلامی	eslAmi
روده‌ای	rude'i
تابوت	tAbut
خویش	xiS
موفقیت‌آمیز	movaffaqiyyatAmiz
لوپز	lopez
چند‌ساله	CandsAle
سی‌وسه‌پل	siyosepol
مدیرروستا	modirrustA
کانا	kAnA
قزاقی	qazzAqi
معادن	ma'Aden
نظام‌وظیفه	nezAmvazife
تیول	tiyul
مشت‌ومال	moStomAl
برناردو	bernArdo
گریس	giris
رستاد	rastAd
یونسکو	yunesko
تحقیقاتی	tahqiqAti
مونتاژکار	montAZkAr
جلد	jald
پیوند‌دهنده	peyvanddahande
آنقره	'Anqore
کف‌‌بین	kafbin
انتشار‌یافته	'enteSAryAfte
گزین	gozin
تربت‌جام	torbatejAm
بیسائو	bisA'o
اغلاط	'aqlAt
لوییس	luyis
راه‌آهن	rAh'Ahan
رنجبار	ranjbAr
دل	del
خبیثه	xabise
بدراه	badrAh
رشته‌پلو	reStepolo
ویرجینیا	virjiniyA
مه‌دود	mehdud
گنجشکها	gonjeSkhA
پاگشا	pAgoSA
بداخم	badaxm
علاء	'alA
آئینه‌کاری‌‌	'A'inekAri
طغیان	toqyAn
درخشید	deraxSid
پدرجد	pedarjadd
شبلی	Sebli
الهیاری	'allAhyAri
ملبوس	malbus
انبارداری	'anbArdAri
پرتاب‌شونده	partAbSavande
بهره‌رسانی	bahreresAni
کشورگشائی	keSvargoSA'i
تونتاب	tuntAb
انگشتری	'angoStari
حساسیت	hassAsiyyat
متعدی	mote'addi
فنردار	fanardAr
وینستون	vineston
استخراج‌شده	'estexrAjSode
افتخار	'eftexAr
احراز‌شده	'ehrAzSode
شاخص	SAxes
باصری	bAseri
مجسمه‌ساز	mojassamesAz
بواسطه	bevAseteye
مینیاتوریست	miniyAtorist
رشت	raSt
یوسفعلی	yusef'ali
فراهم‌‌آوری	farAhamAvari
بالا‌بلند	bAlAboland
خلیفه	xalife
کپک‌‌زده	kapakzade
بنا‌شده	banASode
راه‌پله	rAhpelle
میگو	meygu
منجر	monjar
هانیه	hAniye
فمینیست	feminist
بوسید	busid
دو‌سالگی	dosAlegi
مرغ	marq
تعلیق	ta'liq
گدایانه	gedAyAne
بداقبال	badeqbAl
بعد‌از	ba'daz
کارآمد‌‌سازی	kArAmadsAzi
کیاست	kiyAsat
ابوالفرج	'abolfaraj
کم‌‌حرف	kamharf
نپخته	napoxte
پیمود	peymud
حمل‌‌ونقل	hamlonaql
اختصاص‌داده‌شده	'extesAsdAdeSode
تقلیدکننده	taqlidkonande
کاوند	kAvand
بافت‌شیمی	bAftSimi
بهادر	bahAdor
جهتی	jahati
بی‌مانع	bimAne'
سیف‌اللهی	seyfollAhi
سنفنیک	sanfonik
متداوم	motedAvem
کارستان	kArestAn
مرگ‌و‌میر	margomir
پاشایی	pASAyi
قزل‌‌آلا	qezelAlA
معزالدین	mo'ezzeddin
هموفیلی	hemofili
جهیز	jahiz
علائق	'alA'eq
د	dAl
کردعلی	kord'ali
دارالحکمه	dArolhakame
نوح	nuh
غیرعمد	qeyre'amd
غیرکارگری	qeyrekAregari
سرجنبان	sarjombAn
لباس‌شویی	lebAsSuyi
ترک‌نشین	torkneSin
امپریال	'amperiyAl
ققنس	qoqnos
دمع	dam'
شهادت‌طلبی	SahAdattalabi
ماساچوست	mAsACoset
قطره‌ای	qatre'i
دوشس	duSes
الگوپذیری	'olgupaziri
اتوبوسرانی	'otobusrAni
تلگراف‌خانه	telgerAfxAne
ارغه	'arqe
تیهو	teyhu
پشه	paSe
رزم‌آوری	razmAvari
فقط	faqat
اخت	'oxt
رماند	ramAnd
مجالست	mojAlesat
مشرق	maSreq
تحزب	tahazzob
سوزن‌دوزی	suzanduzi
پوزش	puzeS
حماسه	hamAse
آقامیرزا	'AqAmirzA
دانشجوئی	dAneSju'i
گراینده	garAyande
جهانی‌سازی	jahAnisAzi
جز	joz
چهارچوبه	CAhAr'ube
مخاصمات	moxAsemAt
کنسولتاسیون	konsultAsiyon
اسکندان	'eskandAn
عقیلی	'aqili
اعتراف	'e'terAf
کارمند	kArmand
کاواک	kAvAk
تیم	tim
دلگرمی	delgarmi
تلویحی	talvihi
ترانسفورماتوری	terAnsformAtori
هرمان	hermAn
رختشویی	raxtSuyi
متمایل	motemAyel
بهادرانی	bahAdorAni
علائی	'alA'i
محمدی‌نژاد	mohammadineZAd
دیوان‌سالارانه	divAnsAlArAne
علی‌‌بن‌‌جعفر	'aliyebneja'far
حکومت	hokumat
گلایدر	gelAyder
خستگی‌آور	xastegi'Avar
سرزندگی	sarzendegi
محاصره	mohAsere
صدیقین	seddiqin
بریگاد	berigArd
لوت	lut
بالفرض	belfarz
پیک	peyk
اشتباه	'eStebAh
سیارات	sayyArAt
ریختگری	rixtgari
خوش‌حساب	xoShesAb
ضخم	zaxm
جامعه‌شناسانه	jAme'eSenAsAne
کرباسی	karbAsi
نشکفته	naSkofte
جهت‌دهی	jahatdehi
دمب	domb
سینه‌سرخ	sinesorx
خون‌دل	xunedel
مصون	masun
یواش‌یواش	yavASyavAS
شراب	SarAb
اسماعیلی	'esmA'ili
بازداشتی	bAzdASti
آسوده‌دل	'Asudedel
متوقع	motevaqqe'
عطایی	'atAyi
برپا	barpA
زینالی	zeynAli
نشین	neSin
قربت	qorbat
قره‌نی	qareney
چهار‌در	CAhArdar
مخ	mox
خصوصی	xosusi
پرمحتوا	pormohtavA
روتردام	roterdAm
حشره‌خوار	haSarexAr
آیت‌الکرسی	'Ayatolkorsi
پالتو	pAltow
نعل	na'l
اغماض	'eqmAz
خدایار	xodAyAr
اولتراسوند	'olterAsond
بهزیستی	behzisti
شکسته‌‌بند	Sekasteband
درمان‌نشده	darmAnnaSode
رضایت	rezAyat
بندپی	bandepey
بدنی	badani
تارمی	tAremi
اقماری	'aqmAri
مانیتیسم	mAnyetism
شعبان‌‌نژاد	Sa'bAnneZAd
چهار‌طبقه	CAhArtabaqe
بحران‌ساز	bohrAnsAz
سپلشت	sepeleSt
خاویاری	xAviyAri
اژدهاک	'eZedhAk
راهگشا	rAhgoSA
مبشری	mobaSSeri
ننوشته	naneveSte
تقریر‌کننده	taqrirkonande
گیلان	gilAn
اجرائی	'ejrA'i
اسپانیایی	'espAniyAyi
پیشرفت	piSraft
خودبسندگی	xodbasandegi
موزیک	muzik
برادرانه	barAdarAne
صراحی	sorAhi
تئوریکی	te'oriki
هشت‌ساله	haStsAle
گاهی	gAhi
پمپ	pomp
جوانه‌زده	javAnezade
قاسمیان	qAsemiyAn
غنا	qanA
خوردگی	xordegi
اجرا‌شده	'ejrASode
خزائن	xazA'en
ناهماهنگ	nAhamAhang
تیسفون	tisfun
اشتهاردی	'eStehArdi
سرجوخگی	sarjuxegi
امیرفرشاد	'amirfarSAd
ابوذر	'abuzar
علم‌‌الاجتماع	'elmol'ejtemA'
ولیکن	valikan
جامائیکائی	jAmA'ikA'i
پیرهن	pirhan
راننده	rAnande
دانشنامه‌ای	dAneSnAme'i
نقطه	noqte
گلپوش	golpuS
پرسپولیس	perspolis
تلخ	talx
پر‌گهر	porgohar
نرسانده	naresAnde
رفیق	rafiq
یکچرخه	yekCarxe
بدست‌آورده	bedastAvarde
بگوویچ	begoviC
جدایی‌خواهی	jodAyixAhi
بیضائی	beyzA'i
رنگرز	rangraz
استپی	'estepi
بلغور	balqur
دست‌کم	dastekam
اکوادوری	'ekvAdori
رهبری‌کننده	rahbarikonande
حق‌به‌جانب	haqbejAneb
سعید	sa'id
رخوت	rexvat
عرقی	'araqi
تکسب	takassob
هم‌زبان	hamzabAn
عموزاده	'amuzAde
بلیط	bilit
بیش‌فعالی	biSfa''Ali
پرمدعا	pormodda'A
هاضمه	hAzeme
منوره	monavvare
شکوه	Sekve
اتومبیلرانی	'otomobilrAni
نسوخته	nasuxte
وستفالی	vestfAli
بنیان	bonyAn
q	kiyu
علی‌‌بن‌‌ابیطالب	'aliyebne'abitAleb
درتاج	dorrtAj
هالو	hAlu
روان‌شناسی	ravAnSenAsi
ضرغامی	zarqAmi
مکروه	makruh
هافنیم	hAfniyom
یاتاقان	yAtAqAn
مهرجو	mehrju
بی‌خس	bixas
ویسکوزیته	viskozite
دگر	degar
یشم	yaSm
گر	gar
نامیمون	nAmeymun
سرتیز	sartiz
پر‌درخت	porderAxt
مبرهن	mobarhan
واره	vAre
آذریون	'Azaryun
هیکل	heykal
اذان‌گو	'azAngu
کیلومترمربع	kilumetremorabba'
میرطاهری	mirtAheri
کلرات	kolorAt
مقاوم	moqAvem
اقناع	'eqnA'
افرا	'afrA
سنتور	santur
گرمادهی	garmAdehi
مانک	mAnak
عشیره	'aSire
دوازدهه	davAzdahe
دوایر	davAyer
فکری	fekri
شترسوار	SotorsavAr
مرقشیشا	morreqaSSiSA
منکر	monkar
زنک	zanak
تکواژ	takvAZ
درویش‌پور	darviSpur
محنت‌کشیده	mehnatkeSide
نیمه‌دولتی	nimedowlati
خداپسندانه	xodApasandAne
تائید	ta''id
نظریه‌پردازی	nazariyyepardAzi
شکوک	Sukuk
ردیم	rodiyom
ترمزی	tarmazi
گندمگون	gandomgun
خرسان	xersAn
منتظم‌الدوله	montazemoddowle
الوند	'alvand
قندیلی	qandili
سخنگوئی	soxangu'i
عزیزیان	'aziziyAn
پذیر	pazir
طریقه	tariqe
غیرلازم	qeyrelAzem
استکبارستیزی	'estekbArsetizi
پرحسرت	porhasrat
خارکنی	xArkani
فرورونده	fururavande
برگ	barg
تاتاری	tAtAri
ضد‌‌موشک	zeddemuSak
فرهنگنویس	farhangnevis
حلقه	halqe
دارائی	dArA'i
رادع	rAde'
واقع‌گرایی	vAqe'gerAyi
مبارزه‌طلبی	mobArezetalabi
تعالیم	ta'Alim
محاسن	mahAsen
معدود	ma'dud
مستحفظ	mostahfez
جذام‌خانه	jozAmxAne
رکوع	roku'
جاسمیان	jAsemiyAn
ثبت‌شده	sabtSode
بقائی	baqA'i
میانماری	miyAnmAri
زوبین	zubin
مقصوره	maqsure
مابه‌ازا	mAbe'ezA
نقش‌و‌نگاردار	naqSonegArdAr
پادرهوا	pAdarhavA
رقابت‌پذیری	reqAbatpaziri
اصلاحی	'eslAhi
غیراصلی	qeyre'asli
زواره	zavvAre
مهدی‌پور	mehdipur
ماسبق	mAsabaq
طنز	tanz
خوابگردی	xAbgardi
خوفناک	xowfnAk
توسکا	tuskA
جداره	jedAre
تولیت	towliyat
اسکادران	'eskAdrAn
سمت‌الشمس	samtoSSams
قارچ‌‌شناسی	qArCSenAsi
تفکیک‌شده	tafkikSode
قائم‌‌مقام	qA'emmaqAm
آستانی	'AstAni
جاکفشی	jAkafSi
پیشدستی	piSdasti
صفوت	safvat
سرمایشی	sarmAyeSi
صبحانه	sobhAne
سایند	sAyand
کوانتیده	kovAntide
نامرادی	nAmorAdi
گفت‌و‌گوئی	goftogu'i
تازید	tAzid
تردست	tardast
قماری	qomAri
مام	mAm
آرای	'ArAy
اسکو	'osku
گیتار	gitAr
بده	bede
سایر	sAyer
چم‌و‌خم	Camoxam
آبروی	'Abruy
توقیفگاه	towqifgAh
سوخت‌پاش	suxtpAS
چاشتگاه	CAStgAh
جناحی	jenAhi
محسنیان	mohseniyAn
هوایی	havAyi
دلجویی	deljuyi
رجایی	rajAyi
دودزا	dudzA
روشن‌ضمیری	rowSanzamiri
سوگند‌‌خورده	sowgandxorde
ددمنشانه	dadmaneSAne
آدم‌ربایی	'AdamrobAyi
کارآگاه	kArAgAh
نخست‌وزیری	noxostvaziri
اعما	'a'mA
گاودار	gAvdAr
زمینه‌ساز	zaminesAz
مرتجعانه	mortaje'Ane
روناسیان	runAsiyAn
مشمولیت	maSmuliyyat
غدر	qadr
آپاندیس	'ApAndis
تحیری	tahayyori
لطائف	latA'ef
نئولیتیک	ne'olitik
پرپری	perperi
رحیمی‌نژاد	rahimineZAd
عصبانی	'asabAni
دیار	dayyAr
بی‌دوایی	bidavAyi
عنیف	'anif
پای‌کوبان	pAykubAn
دین‌گرا	dingerA
تلافی	talAfi
ارگونومیک	'ergonomik
خوانندگی	xAnandegi
شروع	Soru'
به‌خاطر	bexAtere
مذبوحانه	mazbuhAne
دخترک	doxtarak
جداول	jadAvel
مکاری	mokAri
انارستان	'anArestAn
بالستیک	bAlestik
وفور	vofur
خدانگهدار	xodAnegahdAr
بی‌اعتنایی	bi'e'tenAyi
دوبلوری	dublori
تقدس	taqaddos
دستمالی	dastmAli
پوما	pumA
حیثیتی	heysiyyati
وحشتزده	vahSatzade
خز	xaz
معبود	ma'bud
سواددار	savAddAr
دموگرافی	demogerAfi
سلف	salaf
بنگدانه	bangdAne
ذره‌بینی	zarrebini
آهنگ	'Ahang
مشابه	moSAbeh
اژدهاکشی	'eZdahAkoSi
رودل	rudel
باشگاهی	bASgAhi
بنی‌اسد	bani'asad
فستق	fostoq
لایپزیک	lAypzik
مبادله‌ای	mobAdele'i
غیرفسیلی	qeyrefosili
ناامیدکننده	nA'omidkonande
کرسی	korsi
کبر	kebr
سارا	sArA
ناهمزمان	nAhamzamAn
الدین	'addin
خوش‌خیال	xoSxiyAl
آرایشگری	'ArAyeSgari
ساخاروف	sAxArof
جاسم	jAsem
نامشخص	nAmoSaxxas
متعامل	mote'Amel
سهی	sahi
ترشحی	taraSSohi
حکم‌‌آباد	hokmAbAd
هیدروکربن	hidrokarbon
موسوی	musavi
متمول	motemavvel
ذیل	zeyl
نوردکاری	navardkAri
نگریست	negarist
پذیرش	pazireS
برهمکنش	barhamkoneS
خجول	xajul
گشتزنی	gaStzani
ظهور	zohur
بهر‌ه‌برداری	bahrebardAri
انتفاضه	'entefAze
ملک‌پور	malekpur
افراطی	'efrAti
طرفین	tarafeyn
کرتینیسم	keretinism
مصادره‌شده	mosAdereSode
دم‌کرده	damkarde
فوزیه	fuziyye
پستان‌بند	pestAnband
مولوی‌شناسی	molaviSenAsi
چند‌هزار‌ساله	CandhezArsAle
نسو	nasu
ارکانی	'arkAni
مشهود	maShud
مدیریت	modiriyyat
چهارسو	CAhArsu
حیله‌باز	hilebAz
چهارگزینه‌ای	CAhArgozine'i
مجار	majAr
حقه‌باز	hoqqebAz
هیپی‌گری	hipigari
سانس	sAns
طبیعت‌گردی	tabi'atgardi
طربناک	tarabnAk
ذی‌نفوذ	zinofuz
گلندام	golandAm
قرقیزی	qerqizi
پیش‌گفته	piSgofte
جان‌فرسا	jAnfarsA
شرم	Sarm
جادوگری	jAdugari
